Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,0,Not Graduate,No,117043,30450,321,480,1,Rural,Y
Female,Yes,2,Graduate,No,83810,29223,131,360,1,Urban,Y
Male,No,0,Not Graduate,No,43358,4499,275,180,1,Urban,Y
Female,No,0,Graduate,No,32028,11573,159,180,1,Semiurban,Y
Female,Yes,2,Graduate,No,103163,1280,344,300,1,Urban,Y
Female,No,3,Graduate,No,83582,13105,162,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,73261,8364,323,120,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,46099,24844,217,240,1,Rural,Y
Female,Yes,3,Graduate,No,73644,1270,326,180,0,Urban,N
Male,No,2,Not Graduate,No,38130,13749,60,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,33992,39707,108,360,1,Urban,Y
Male,No,1,Not Graduate,No,105718,3249,88,360,0,Urban,N
Female,No,1,Graduate,No,114581,672,227,360,1,Urban,Y
Female,Yes,1,Graduate,No,59472,41653,285,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,107817,38828,187,300,1,Rural,Y
Female,No,0,Graduate,No,61674,5511,64,300,1,Semiurban,Y
Female,No,0,Not Graduate,No,48211,9106,55,360,1,Urban,Y
Female,Yes,2,Graduate,No,76332,29371,58,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,109771,36070,219,300,1,Urban,Y
Male,Yes,0,Graduate,No,111901,45230,144,240,1,Urban,Y
Female,No,2,Graduate,No,51618,231,323,180,1,Urban,Y
Female,Yes,0,Not Graduate,No,13607,37621,195,300,1,Urban,Y
Male,Yes,3,Graduate,Yes,76454,4855,345,360,1,Urban,Y
Female,Yes,0,Graduate,No,90135,51821,165,360,1,Rural,Y
Female,No,3,Graduate,No,91905,12125,100,480,1,Urban,Y
Male,Yes,0,Graduate,Yes,71048,45178,290,240,1,Semiurban,Y
Female,Yes,0,Graduate,No,89304,43331,151,300,1,Semiurban,Y
Female,No,0,Graduate,No,110167,13504,341,480,1,Semiurban,Y
Female,Yes,3,Graduate,No,22543,39192,70,360,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,14719,50119,187,360,1,Urban,Y
Female,No,0,Graduate,No,76451,1494,290,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,118635,49840,331,120,1,Urban,Y
Male,No,1,Graduate,No,98200,14243,327,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,49752,28712,298,180,0,Semiurban,N
Male,No,0,Graduate,No,41451,13785,108,300,1,Rural,Y
Female,No,0,Graduate,No,75242,7736,174,300,1,Urban,Y
Male,No,0,Not Graduate,No,115247,8318,186,360,1,Urban,Y
Female,No,1,Graduate,No,111991,8903,243,300,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,109609,30996,245,300,1,Rural,Y
Male,Yes,0,Graduate,No,25154,57290,275,180,0,Urban,N
Male,Yes,2,Graduate,No,46737,22187,253,360,0,Rural,N
Female,No,1,Not Graduate,No,82912,588,85,240,1,Urban,Y
Male,No,1,Graduate,No,25173,7269,135,360,0,Urban,N
Male,Yes,1,Graduate,No,86177,44682,142,240,1,Rural,Y
Male,Yes,1,Graduate,No,72236,16733,54,360,1,Urban,Y
Male,Yes,3,Not Graduate,No,67615,45240,178,300,1,Rural,Y
Female,Yes,1,Graduate,No,103655,19348,61,480,1,Urban,Y
Male,No,2,Not Graduate,No,113677,13088,167,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,94345,6367,70,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,29322,51544,326,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,117708,4835,223,360,1,Urban,Y
Male,No,2,Not Graduate,No,117458,9131,237,180,1,Urban,Y
Male,Yes,2,Graduate,No,119795,41847,240,180,1,Urban,Y
Female,No,0,Graduate,No,103891,4951,259,180,1,Urban,Y
Female,Yes,0,Graduate,No,60629,43940,326,300,1,Urban,Y
Female,Yes,2,Graduate,No,48666,2144,239,240,1,Urban,Y
Female,Yes,2,Graduate,No,59012,3968,253,240,0,Rural,N
Female,Yes,0,Graduate,No,18629,51563,220,240,1,Semiurban,Y
Male,No,1,Graduate,No,42539,5383,125,360,1,Urban,Y
Male,No,1,Not Graduate,Yes,15379,2159,57,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,109735,4165,293,300,1,Semiurban,Y
Female,Yes,3,Graduate,No,98363,34173,204,300,0,Urban,N
Female,No,1,Graduate,No,70138,1204,91,300,1,Urban,Y
Female,Yes,1,Graduate,No,68387,6499,108,360,1,Rural,Y
Male,Yes,3,Graduate,No,64262,27262,98,300,1,Urban,Y
Male,Yes,1,Graduate,Yes,68606,6328,240,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,67435,56891,76,480,1,Urban,Y
Male,Yes,1,Not Graduate,No,84910,24088,108,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,47818,46052,208,480,1,Urban,Y
Male,Yes,1,Graduate,No,16018,6013,321,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,18895,10196,130,360,1,Urban,Y
Female,Yes,1,Graduate,No,110951,33577,108,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,19180,503,154,300,1,Urban,Y
Female,Yes,0,Graduate,No,28932,24917,322,360,1,Rural,Y
Female,Yes,3,Graduate,Yes,22205,56499,210,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,93018,30152,235,180,0,Urban,N
Female,Yes,1,Graduate,No,55655,51060,136,180,1,Semiurban,Y
Male,No,0,Graduate,No,118828,2419,170,180,1,Urban,Y
Male,No,2,Graduate,No,76764,7601,338,360,1,Rural,Y
Female,No,1,Graduate,Yes,69961,10344,205,360,1,Urban,Y
Male,Yes,1,Graduate,No,22057,42248,96,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,74341,32857,127,480,1,Rural,Y
Female,No,0,Graduate,Yes,104749,7172,274,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,94691,42421,221,180,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,31709,21847,91,360,1,Urban,Y
Female,Yes,2,Graduate,No,96343,51882,218,360,1,Rural,Y
Male,Yes,1,Graduate,No,35627,14037,224,480,1,Urban,Y
Male,Yes,0,Not Graduate,No,82748,54730,319,120,1,Rural,Y
Male,Yes,0,Graduate,No,93885,53021,134,360,1,Urban,Y
Male,No,1,Not Graduate,No,42671,8749,172,300,0,Semiurban,N
Male,Yes,3,Not Graduate,No,48932,50995,245,360,1,Urban,Y
Male,No,0,Graduate,No,60655,9085,102,360,1,Urban,Y
Male,No,0,Not Graduate,Yes,69340,1502,163,360,0,Rural,N
Female,Yes,1,Graduate,No,61140,14715,64,300,1,Semiurban,Y
Female,No,0,Graduate,No,103235,13616,121,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,91807,34588,266,180,1,Urban,Y
Male,Yes,1,Graduate,Yes,77513,39107,324,120,1,Urban,Y
Male,Yes,0,Graduate,No,36551,43540,93,360,1,Rural,Y
Male,Yes,1,Graduate,No,45246,48976,58,300,1,Urban,Y
Male,No,2,Graduate,Yes,83567,5546,139,360,1,Rural,Y
Female,Yes,2,Graduate,No,71988,2423,200,240,1,Rural,Y
Female,No,1,Not Graduate,No,45202,599,147,240,0,Urban,N
Female,Yes,2,Graduate,No,69637,58630,247,300,1,Semiurban,Y
Female,No,1,Not Graduate,No,22345,7055,142,360,1,Urban,Y
Female,Yes,1,Graduate,No,58077,29303,71,360,0,Semiurban,Y
Female,Yes,3,Not Graduate,Yes,95560,26621,236,360,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,20812,15466,237,300,0,Urban,N
Male,Yes,3,Graduate,No,87225,9023,321,300,1,Urban,Y
Male,Yes,0,Graduate,No,27435,17155,183,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,105502,29170,94,360,0,Rural,N
Female,No,1,Graduate,No,32644,11662,139,360,1,Urban,Y
Male,No,0,Graduate,No,87009,6044,289,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,65843,50407,259,360,1,Rural,Y
Male,Yes,2,Graduate,No,114270,36130,350,240,0,Semiurban,N
Male,No,1,Graduate,No,104973,3694,227,480,1,Urban,Y
Male,Yes,1,Graduate,Yes,51691,40267,323,180,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,85874,2699,64,180,0,Rural,N
Female,Yes,2,Graduate,No,77278,58261,329,240,0,Semiurban,N
Female,Yes,0,Graduate,No,75471,30437,154,300,1,Rural,Y
Female,No,3,Not Graduate,Yes,60567,8437,337,180,1,Urban,Y
Female,Yes,0,Graduate,No,92658,27402,177,480,0,Rural,N
Female,Yes,0,Not Graduate,No,52441,32595,61,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,97755,44074,290,240,1,Urban,Y
Male,No,2,Not Graduate,No,64505,838,341,360,1,Urban,Y
Female,Yes,2,Graduate,No,101181,40045,110,180,1,Urban,Y
Female,Yes,1,Graduate,No,64610,32773,70,120,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,92356,20875,133,300,1,Rural,Y
Female,Yes,1,Graduate,No,74245,53460,58,300,1,Rural,Y
Female,No,2,Graduate,Yes,74205,4350,346,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,119696,44612,174,120,0,Urban,N
Male,Yes,1,Graduate,No,77774,50788,291,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,61391,20562,138,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,41473,19504,197,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,27974,37583,328,300,0,Rural,N
Male,Yes,0,Graduate,No,69983,42989,181,360,1,Rural,Y
Female,No,2,Graduate,No,88917,3920,174,180,0,Urban,Y
Male,Yes,1,Graduate,Yes,113025,9009,52,480,0,Urban,N
Female,Yes,0,Not Graduate,No,96659,3877,95,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,16763,13700,253,360,1,Semiurban,Y
Female,No,0,Graduate,Yes,55914,4662,282,480,1,Semiurban,Y
Male,No,1,Graduate,Yes,33298,11978,284,360,1,Urban,Y
Female,No,1,Not Graduate,No,95719,14697,257,360,1,Urban,Y
Male,Yes,0,Graduate,No,46181,25137,170,300,1,Urban,Y
Male,Yes,1,Graduate,No,73000,20106,131,300,1,Rural,Y
Female,Yes,1,Not Graduate,No,40947,14360,118,300,1,Rural,Y
Female,Yes,1,Graduate,No,99044,54106,161,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,26707,4047,330,480,1,Semiurban,Y
Male,Yes,1,Graduate,No,88434,32035,96,360,1,Urban,Y
Male,Yes,1,Graduate,No,117764,20196,61,300,0,Semiurban,Y
Male,Yes,0,Graduate,No,21046,30937,66,240,1,Urban,Y
Female,Yes,3,Graduate,No,61479,24618,91,360,1,Semiurban,Y
Female,Yes,3,Graduate,Yes,41188,54710,51,360,0,Semiurban,N
Female,Yes,2,Graduate,No,48129,12352,107,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,100083,46090,74,240,1,Semiurban,Y
Male,No,2,Graduate,No,42692,13365,344,300,1,Semiurban,Y
Female,Yes,3,Not Graduate,No,66206,19693,190,180,0,Rural,N
Male,Yes,1,Graduate,No,96320,43997,245,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,41536,19709,123,360,0,Semiurban,N
Female,Yes,0,Graduate,No,96765,5181,280,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,21539,12331,350,360,1,Semiurban,Y
Female,Yes,3,Graduate,No,109186,7688,295,480,1,Semiurban,Y
Female,No,1,Not Graduate,No,81946,10628,233,300,1,Rural,Y
Female,Yes,3,Graduate,No,38624,24294,210,300,1,Urban,Y
Male,Yes,1,Graduate,No,50691,9988,150,300,1,Rural,Y
Female,Yes,3,Graduate,No,76044,47419,301,300,1,Urban,Y
Male,No,1,Not Graduate,No,96123,962,318,120,0,Rural,N
Male,No,1,Not Graduate,No,104690,2474,54,240,1,Urban,Y
Female,Yes,0,Graduate,No,14192,34695,190,360,1,Semiurban,Y
Female,No,3,Graduate,Yes,31516,3948,148,360,1,Urban,Y
Female,Yes,3,Graduate,No,103388,14801,203,360,0,Semiurban,N
Male,Yes,1,Graduate,Yes,13238,46061,137,180,0,Semiurban,N
Female,Yes,3,Graduate,No,17577,15057,158,480,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,85860,43129,66,240,0,Urban,N
Male,Yes,2,Graduate,No,22084,19613,133,360,1,Rural,Y
Female,Yes,2,Not Graduate,No,22279,32819,227,180,1,Rural,Y
Female,Yes,1,Graduate,No,54778,1941,189,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,93083,19357,176,360,1,Urban,Y
Male,No,0,Graduate,Yes,52405,7286,234,360,1,Urban,Y
Female,Yes,1,Graduate,Yes,58388,36321,97,360,1,Rural,Y
Male,Yes,1,Graduate,No,43816,37483,316,240,1,Urban,Y
Female,Yes,0,Graduate,No,51289,31734,89,300,0,Semiurban,Y
Female,Yes,0,Graduate,No,63864,21772,244,360,1,Urban,Y
Male,Yes,1,Graduate,No,35283,26099,213,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,85905,13094,329,240,1,Urban,Y
Female,No,0,Not Graduate,No,21064,13417,259,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,90372,31407,348,300,1,Rural,Y
Female,Yes,2,Graduate,No,82373,38916,93,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,64378,49327,219,480,1,Urban,Y
Female,Yes,2,Graduate,No,40971,29214,241,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,23253,7606,122,300,1,Rural,Y
Female,Yes,0,Graduate,No,20804,19678,72,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,34865,36169,131,300,1,Semiurban,Y
Female,Yes,0,Graduate,No,108650,40246,151,300,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,25336,52396,324,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,62939,40062,250,360,1,Rural,Y
Male,No,2,Graduate,No,23108,11011,118,300,1,Urban,Y
Female,Yes,1,Graduate,Yes,62293,27724,145,300,1,Rural,Y
Male,Yes,1,Graduate,No,71113,40593,77,360,0,Semiurban,Y
Male,No,3,Graduate,No,101744,8056,262,360,1,Urban,Y
Male,No,0,Graduate,No,49836,2755,284,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,83046,53910,71,360,1,Urban,Y
Female,Yes,2,Not Graduate,No,16224,29473,184,300,0,Semiurban,N
Male,No,0,Not Graduate,No,57957,14107,269,240,1,Urban,Y
Male,No,1,Graduate,No,34069,5302,199,240,1,Rural,Y
Male,Yes,2,Graduate,Yes,48349,56822,114,360,1,Urban,Y
Female,No,2,Graduate,No,87684,10361,187,360,1,Urban,Y
Male,Yes,2,Graduate,No,71597,31984,217,360,0,Rural,N
Male,No,1,Graduate,No,20300,13036,323,300,0,Rural,N
Female,Yes,2,Graduate,No,86205,55864,298,360,0,Rural,N
Male,Yes,2,Graduate,Yes,32707,28920,283,120,0,Urban,N
Male,No,0,Not Graduate,No,24234,10724,234,240,1,Rural,Y
Male,Yes,1,Graduate,No,68260,42957,96,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,57032,53550,111,480,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,60177,57736,203,180,1,Rural,Y
Male,Yes,2,Graduate,No,91995,42599,134,300,1,Semiurban,Y
Male,No,1,Graduate,No,25168,2293,113,360,1,Rural,Y
Female,No,0,Graduate,No,90774,9830,195,360,1,Rural,Y
Female,Yes,1,Graduate,No,96694,3576,172,300,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,29299,25351,341,300,1,Urban,Y
Female,No,2,Graduate,Yes,46365,3534,70,480,0,Urban,N
Female,Yes,1,Graduate,No,22803,41978,324,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,63213,38432,83,300,1,Rural,Y
Male,Yes,0,Graduate,No,91800,3606,208,360,1,Urban,Y
Male,No,2,Graduate,No,80551,8474,182,240,1,Rural,Y
Female,No,0,Not Graduate,No,68272,4456,318,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,33873,24096,130,240,1,Semiurban,Y
Male,Yes,1,Graduate,No,44053,3013,291,300,0,Urban,N
Male,Yes,3,Graduate,No,54179,16270,263,480,1,Rural,Y
Female,Yes,2,Graduate,No,79603,3009,255,180,1,Urban,Y
Female,Yes,1,Graduate,No,85899,51413,205,360,1,Urban,Y
Female,No,2,Graduate,No,116329,4016,127,120,1,Urban,Y
Female,Yes,2,Graduate,No,111474,43077,242,360,1,Urban,Y
Male,Yes,3,Not Graduate,Yes,48677,6096,72,480,0,Semiurban,N
Female,Yes,2,Graduate,No,95521,53737,251,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,103845,54519,217,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,70925,30543,210,300,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,117853,44961,205,360,1,Urban,Y
Female,Yes,2,Not Graduate,No,18416,44379,203,240,0,Urban,N
Female,No,1,Graduate,Yes,25357,13171,121,180,1,Rural,Y
Male,Yes,2,Graduate,No,96500,5507,348,360,0,Urban,N
Male,Yes,1,Not Graduate,Yes,118022,21728,112,120,1,Urban,Y
Female,No,1,Graduate,No,34650,5799,159,480,1,Semiurban,Y
Male,Yes,1,Graduate,No,66000,57853,331,300,1,Urban,Y
Female,Yes,3,Graduate,No,117141,35629,59,480,1,Urban,Y
Female,Yes,1,Graduate,No,15416,20897,162,120,0,Urban,N
Female,Yes,2,Not Graduate,No,25124,16243,173,240,0,Rural,N
Male,No,3,Graduate,No,62911,5813,138,240,1,Rural,Y
Female,No,0,Graduate,No,85873,2328,338,480,0,Rural,N
Female,Yes,0,Graduate,Yes,90861,14339,60,360,1,Rural,Y
Male,No,0,Graduate,No,54413,975,61,180,1,Urban,Y
Male,No,3,Not Graduate,No,98787,6481,350,180,1,Urban,Y
Male,No,1,Graduate,No,53586,2854,337,360,0,Rural,N
Male,Yes,2,Graduate,No,50602,8345,140,360,0,Rural,N
Female,No,2,Graduate,No,53709,13251,163,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,23629,13462,221,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,69438,48010,264,480,0,Semiurban,N
Female,Yes,1,Not Graduate,No,87766,42661,165,240,1,Rural,Y
Female,Yes,0,Graduate,No,61212,10545,88,360,0,Urban,Y
Female,No,1,Graduate,No,68911,2573,77,180,1,Urban,Y
Female,Yes,0,Graduate,No,84045,55040,301,240,1,Semiurban,Y
Female,No,1,Graduate,Yes,39125,2798,199,480,1,Urban,Y
Female,Yes,3,Graduate,No,62793,12116,239,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,31808,49298,99,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,82190,45027,293,360,1,Urban,Y
Female,No,2,Graduate,No,116916,9363,125,180,1,Urban,Y
Male,No,2,Graduate,No,101538,7133,153,480,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,84923,26041,332,300,1,Semiurban,Y
Male,No,1,Graduate,No,66321,2451,125,360,1,Rural,Y
Male,No,1,Graduate,No,82206,14420,226,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,102919,26327,69,300,0,Semiurban,Y
Male,No,3,Not Graduate,Yes,119136,13003,205,300,0,Rural,N
Male,No,0,Graduate,No,113453,13530,214,240,1,Semiurban,Y
Male,Yes,3,Graduate,No,79698,56832,241,360,1,Urban,Y
Female,No,1,Not Graduate,No,86537,474,138,240,0,Rural,N
Male,Yes,0,Graduate,No,60280,53969,287,360,1,Urban,Y
Male,Yes,1,Graduate,No,74204,38461,332,300,1,Rural,Y
Male,Yes,1,Graduate,No,40091,56171,163,360,1,Urban,Y
Female,Yes,3,Not Graduate,No,74140,59737,117,360,1,Urban,Y
Female,Yes,3,Graduate,No,48094,27774,242,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,79045,43408,241,360,1,Urban,Y
Male,Yes,0,Graduate,No,48291,17114,202,240,1,Urban,Y
Male,No,2,Graduate,No,101228,2292,63,360,0,Urban,Y
Female,Yes,2,Graduate,No,118956,12446,225,360,1,Semiurban,Y
Female,No,2,Graduate,No,98194,14360,335,240,1,Urban,Y
Female,No,1,Not Graduate,No,55992,10722,95,240,1,Rural,Y
Female,No,0,Graduate,No,27437,7709,77,360,1,Rural,Y
Male,Yes,0,Graduate,No,81446,19553,261,180,0,Urban,N
Male,Yes,3,Not Graduate,No,30772,20734,142,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,113389,11049,345,360,1,Rural,Y
Male,Yes,1,Graduate,No,74573,25121,52,120,1,Urban,Y
Male,No,2,Graduate,Yes,12540,10267,177,240,0,Urban,N
Male,Yes,1,Graduate,No,51085,19059,283,360,1,Urban,Y
Male,Yes,3,Graduate,No,118431,26436,59,240,1,Urban,Y
Male,Yes,0,Graduate,No,16897,24588,180,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,66627,29118,244,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,98832,34098,188,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,77239,13018,152,360,0,Rural,N
Female,No,0,Graduate,No,39222,11275,296,300,1,Semiurban,Y
Male,No,2,Graduate,Yes,79070,1229,101,480,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,50085,23607,210,300,1,Rural,Y
Male,Yes,0,Graduate,No,69372,40750,187,360,1,Rural,Y
Male,Yes,1,Graduate,No,102426,55749,294,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,25593,27264,297,360,1,Urban,Y
Female,No,1,Not Graduate,No,107325,14610,116,300,1,Rural,Y
Female,Yes,0,Graduate,No,100857,34394,345,360,1,Rural,Y
Female,Yes,2,Graduate,No,107243,16290,296,300,1,Urban,Y
Male,Yes,3,Graduate,No,76990,56978,134,180,1,Urban,Y
Female,Yes,0,Graduate,No,42801,5166,285,300,1,Urban,Y
Female,Yes,0,Graduate,No,25453,26439,261,120,1,Rural,Y
Female,No,1,Graduate,No,56676,5953,77,360,0,Urban,N
Female,No,1,Graduate,Yes,98364,3633,51,300,0,Rural,N
Female,Yes,1,Graduate,No,76542,9204,259,180,1,Urban,Y
Female,Yes,2,Graduate,No,111241,27162,73,480,0,Semiurban,N
Female,Yes,1,Graduate,No,12568,34757,74,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,98182,39357,214,360,1,Rural,Y
Male,Yes,3,Not Graduate,No,29481,9055,261,360,0,Semiurban,N
Female,No,3,Graduate,No,93810,11704,198,360,0,Urban,N
Male,Yes,2,Graduate,Yes,58168,36849,295,360,0,Semiurban,N
Female,No,1,Graduate,Yes,61921,2381,77,360,1,Rural,Y
Male,No,2,Graduate,Yes,114807,4835,154,360,1,Rural,Y
Male,Yes,2,Graduate,No,96819,36783,249,240,1,Rural,Y
Female,Yes,0,Graduate,No,115299,44901,210,480,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,95071,46178,238,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,34779,48174,313,180,1,Urban,Y
Female,Yes,1,Graduate,No,105020,10145,70,240,1,Urban,Y
Female,Yes,1,Graduate,No,53662,34432,162,480,1,Rural,Y
Male,Yes,1,Graduate,No,39964,43472,219,300,1,Rural,Y
Female,No,2,Not Graduate,Yes,99679,5668,278,240,1,Rural,Y
Male,No,2,Graduate,No,26860,6322,181,360,1,Rural,Y
Female,Yes,1,Graduate,No,97397,12616,214,360,0,Urban,N
Male,Yes,0,Graduate,No,101837,27800,103,240,0,Rural,N
Female,Yes,3,Graduate,No,72191,46980,219,120,1,Urban,Y
Female,Yes,1,Graduate,No,62860,29564,257,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,103866,55590,87,300,1,Urban,Y
Female,Yes,0,Not Graduate,No,119757,43301,65,300,1,Urban,Y
Female,No,2,Graduate,No,51066,11096,241,480,1,Rural,Y
Male,Yes,0,Graduate,No,23157,19968,157,360,0,Urban,N
Female,No,3,Graduate,No,92856,13676,179,240,1,Rural,Y
Male,No,3,Not Graduate,No,84045,1198,198,360,1,Urban,Y
Female,No,1,Graduate,No,49373,10150,85,480,1,Semiurban,Y
Female,Yes,0,Graduate,No,68139,11051,52,300,1,Semiurban,Y
Female,Yes,1,Graduate,No,74908,30333,278,300,1,Semiurban,Y
Male,Yes,0,Graduate,No,82597,12873,184,360,1,Semiurban,Y
Male,No,1,Not Graduate,No,112820,9667,158,480,1,Semiurban,Y
Female,Yes,0,Graduate,No,89280,48052,198,180,1,Urban,Y
